Sum of NET_IVC_AMT,Column Labels,,,,
Row Labels,East,North,South,OOT,Grand Total
2014,7967022.66,7769761.54,2086055.1,1397840.75,19220680.05
1,544769.1,568663.87,276100.57,93419.86,1482953.4
2,612757.65,700662.91,156221.67,69049.88,1538692.11
3,651111,589202.71,158352.62,94502.75,1493169.08
4,567577.22,682015.93,173517.2,114362.26,1537472.61
5,723372.44,678434.82,127276.2,110952.72,1640036.18
6,660031.66,768710.3,128691.91,126073.4,1683507.27
7,541274.95,755563.49,121325.67,253198.31,1671362.42
8,671110.16,618823.34,193199.48,216283.34,1699416.32
9,899245.17,673494.55,202319.66,106906.55,1881965.93
10,844389.68,605682.54,231836.85,106459.83,1788368.9
11,535317.9,601766.47,149916.91,52974.84,1339976.12
12,716065.73,526740.61,167296.36,53657.01,1463759.71
2015,8307056.52,8356096.82,2577699.52,1246860.18,20487713.04
1,710585.64,546890.09,114801.31,112542.56,1484819.6
2,588438.56,604332.87,250676.52,80077.11,1523525.06
3,788731.93,619295.6,184994.06,89843.6,1682865.19
4,1047060.65,745442.36,260990.77,111553.7,2165047.48
5,664678.68,704730.58,192062.63,95217.67,1656689.56
6,634438.99,709404.6,229638.65,85663.93,1659146.17
7,564384.51,849543.41,172831.09,123164.61,1709923.62
8,782075.73,925418.94,251253.67,95144.54,2053892.88
9,658089.19,920622.33,235679.65,113306.67,1927697.84
10,665514.53,633065.16,222495.42,110731.3,1631806.41
11,517056.19,507029.94,186520.75,63156.32,1273763.2
12,686001.92,590320.94,275755,166458.17,1718536.03
2016,7035386.19,7896583.32,2627546.49,1167571.14,18727087.14
1,506473.31,514798.97,158616.73,73206.18,1253095.19
2,581438.82,699683.98,289242.93,62880.14,1633245.87
3,632761.12,578092.44,253172.67,143019,1607045.23
4,474450.08,579717.18,219646.7,114283.46,1388097.42
5,841789.22,511960.21,211809.03,111074.87,1676633.33
6,554451.66,574169.61,215667.02,110502.15,1454790.44
7,563471.38,549589.24,248438.13,78460.99,1439959.74
8,558276.44,989419.76,218677.88,112369.82,1878743.9
9,721916.87,800270.74,202400.01,94703.15,1819290.77
10,477351.68,574793.88,298437.54,92380.63,1442963.73
11,581590.87,816661.64,139216.02,92067.5,1629536.03
12,541414.74,707425.67,172221.83,82623.25,1503685.49
2017,5477359.52,6422969.62,1755834.98,983519.48,14639683.6
1,668969.41,593557.65,258035.49,80391.28,1600953.83
2,610012.34,578651.82,250619.09,85749.05,1525032.3
3,610287.2,679295.21,196931.17,83333.45,1569847.03
4,513089.58,687122.67,128623.65,54690.64,1383526.54
5,469046.03,640905.52,222791.95,79020.21,1411763.71
6,524025.65,685639.77,141274.76,111655.81,1462595.99
7,464047.16,661008.01,82705.18,65651.24,1273411.59
8,500442.25,665518.17,167565.29,150077.38,1483603.09
9,599999.43,669592.31,157450.91,155750.39,1582793.04
10,517440.47,561678.49,149837.49,117200.03,1346156.48
Grand Total,28786824.89,30445411.3,9047136.09,4795791.55,73075163.83
