Value,Class
156,Normal
282,Normal
197,Normal
297,Normal
116,Normal
127,Normal
119,Normal
29,Normal
253,Normal
122,Normal
349,Normal
110,Normal
143,Normal
64,Normal
26,Normal
86,Normal
122,Normal
455,Normal
655,Normal
14,Normal
391,Alloxan
46,Alloxan
469,Alloxan
86,Alloxan
174,Alloxan
133,Alloxan
13,Alloxan
499,Alloxan
168,Alloxan
62,Alloxan
127,Alloxan
276,Alloxan
176,Alloxan
146,Alloxan
108,Alloxan
276,Alloxan
50,Alloxan
73,Alloxan
82,AlloxIns
100,AlloxIns
98,AlloxIns
150,AlloxIns
243,AlloxIns
68,AlloxIns
228,AlloxIns
131,AlloxIns
73,AlloxIns
18,AlloxIns
20,AlloxIns
100,AlloxIns
72,AlloxIns
133,AlloxIns
465,AlloxIns
40,AlloxIns
46,AlloxIns
34,AlloxIns
44,AlloxIns
